"","act","scene","speaker","n"
"1","[Tekst]","Scene 1","Andreas",15
"2","[Tekst]","Scene 1","Henrik",54
"3","[Tekst]","Scene 1","Leander",6
"4","[Tekst]","Scene 1","Leonora",2
"5","[Tekst]","Scene 1","Oldfux",19
"6","[Tekst]","Scene 1","Pernille",39
"7","[Tekst]","Scene 1","Sganarel",3
"8","[Tekst]","Scene 1","Terentia",15
"9","[Tekst]","Scene 1",NA,6
"10","[Tekst]","Scene 10","1. kvinde",6
"11","[Tekst]","Scene 10","2. kvinde",6
"12","[Tekst]","Scene 10","Arv",7
"13","[Tekst]","Scene 10","Gert",16
"14","[Tekst]","Scene 10","Henrik",8
"15","[Tekst]","Scene 10","Jeronimus",7
"16","[Tekst]","Scene 10","Laurentia",1
"17","[Tekst]","Scene 10","Leonora",16
"18","[Tekst]","Scene 10","Magdelone",1
"19","[Tekst]","Scene 10","Oldfux",5
"20","[Tekst]","Scene 10","Pernille",9
"21","[Tekst]","Scene 10","Polidor",7
"22","[Tekst]","Scene 10","Soldaten",6
"23","[Tekst]","Scene 10","Terentia",11
"24","[Tekst]","Scene 10",NA,9
"25","[Tekst]","Scene 11","",2
"26","[Tekst]","Scene 11","Gunild",4
"27","[Tekst]","Scene 11","Henrik",4
"28","[Tekst]","Scene 11","Jeronimus",7
"29","[Tekst]","Scene 11","Kirsten",11
"30","[Tekst]","Scene 11","Leander",9
"31","[Tekst]","Scene 11","Leonora",7
"32","[Tekst]","Scene 11","Magdelone",4
"33","[Tekst]","Scene 11","Oldfux",9
"34","[Tekst]","Scene 11","Pernille",6
"35","[Tekst]","Scene 11","Polidor",4
"36","[Tekst]","Scene 11","Sganarel",5
"37","[Tekst]","Scene 11","Terentia",8
"38","[Tekst]","Scene 11",NA,12
"39","[Tekst]","Scene 12","",1
"40","[Tekst]","Scene 12","3. kvinde",10
"41","[Tekst]","Scene 12","Anne",1
"42","[Tekst]","Scene 12","Arv",8
"43","[Tekst]","Scene 12","Børnene",2
"44","[Tekst]","Scene 12","Christopher",1
"45","[Tekst]","Scene 12","Else",1
"46","[Tekst]","Scene 12","Elsebet",4
"47","[Tekst]","Scene 12","Gilbert",6
"48","[Tekst]","Scene 12","Gunild",6
"49","[Tekst]","Scene 12","Henning",1
"50","[Tekst]","Scene 12","Henrik",27
"51","[Tekst]","Scene 12","Jeronimus",22
"52","[Tekst]","Scene 12","Jøden",24
"53","[Tekst]","Scene 12","Kirsten",2
"54","[Tekst]","Scene 12","Leander",11
"55","[Tekst]","Scene 12","Leonora",4
"56","[Tekst]","Scene 12","Marie",1
"57","[Tekst]","Scene 12","Per",1
"58","[Tekst]","Scene 12","Pernille",8
"59","[Tekst]","Scene 12","Polidor",8
"60","[Tekst]","Scene 12","Sganarel",11
"61","[Tekst]","Scene 12","Skolemester",1
"62","[Tekst]","Scene 12","Skolemesteren",21
